comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.034621953,0.35964912,0.88157418
same_recording_split_halves,0.034777209,0.35964912,0.88157418
same_recording_split_halves,0.034932464,0.35964912,0.88157418
same_recording_split_halves,0.035087719,0.35964912,0.88157418
same_recording_split_halves,0.035087719,0.36842105,0.88157418
same_recording_split_halves,0.035242975,0.36842105,0.88157418
same_recording_split_halves,0.03539823,0.36842105,0.88157418
same_recording_split_halves,0.035553485,0.36842105,0.88157418
same_recording_split_halves,0.035708741,0.36842105,0.88157418
same_recording_split_halves,0.035863996,0.36842105,0.88157418
same_recording_split_halves,0.036019252,0.36842105,0.88157418
same_recording_split_halves,0.036174507,0.36842105,0.88157418
same_recording_split_halves,0.036329762,0.36842105,0.88157418
same_recording_split_halves,0.036485018,0.36842105,0.88157418
same_recording_split_halves,0.036640273,0.36842105,0.88157418
same_recording_split_halves,0.036795529,0.36842105,0.88157418
same_recording_split_halves,0.036950784,0.36842105,0.88157418
same_recording_split_halves,0.037106039,0.36842105,0.88157418
same_recording_split_halves,0.037261295,0.36842105,0.88157418
same_recording_split_halves,0.03741655,0.36842105,0.88157418
same_recording_split_halves,0.03741655,0.37719298,0.88157418
same_recording_split_halves,0.037571806,0.37719298,0.88157418
same_recording_split_halves,0.037727061,0.37719298,0.88157418
same_recording_split_halves,0.037727061,0.38596491,0.88157418
same_recording_split_halves,0.037882316,0.38596491,0.88157418
same_recording_split_halves,0.038037572,0.38596491,0.88157418
same_recording_split_halves,0.038192827,0.38596491,0.88157418
same_recording_split_halves,0.038192827,0.39473684,0.88157418
same_recording_split_halves,0.038348083,0.39473684,0.88157418
same_recording_split_halves,0.038503338,0.39473684,0.88157418
same_recording_split_halves,0.038658593,0.39473684,0.88157418
same_recording_split_halves,0.038813849,0.39473684,0.88157418
same_recording_split_halves,0.038969104,0.39473684,0.88157418
same_recording_split_halves,0.03912436,0.39473684,0.88157418
same_recording_split_halves,0.039279615,0.39473684,0.88157418
same_recording_split_halves,0.03943487,0.39473684,0.88157418
same_recording_split_halves,0.039590126,0.39473684,0.88157418
same_recording_split_halves,0.039745381,0.39473684,0.88157418
same_recording_split_halves,0.039900637,0.39473684,0.88157418
same_recording_split_halves,0.040055892,0.39473684,0.88157418
same_recording_split_halves,0.040211147,0.39473684,0.88157418
same_recording_split_halves,0.040366403,0.39473684,0.88157418
same_recording_split_halves,0.040521658,0.39473684,0.88157418
same_recording_split_halves,0.040676914,0.39473684,0.88157418
same_recording_split_halves,0.040832169,0.39473684,0.88157418
same_recording_split_halves,0.040987424,0.39473684,0.88157418
same_recording_split_halves,0.04114268,0.39473684,0.88157418
same_recording_split_halves,0.041297935,0.39473684,0.88157418
same_recording_split_halves,0.04145319,0.39473684,0.88157418
same_recording_split_halves,0.041608446,0.39473684,0.88157418
same_recording_split_halves,0.041763701,0.39473684,0.88157418
same_recording_split_halves,0.041918957,0.39473684,0.88157418
same_recording_split_halves,0.042074212,0.39473684,0.88157418
same_recording_split_halves,0.042229467,0.39473684,0.88157418
same_recording_split_halves,0.042384723,0.39473684,0.88157418
same_recording_split_halves,0.042539978,0.39473684,0.88157418
same_recording_split_halves,0.042539978,0.40350877,0.88157418
same_recording_split_halves,0.042695234,0.40350877,0.88157418
same_recording_split_halves,0.042850489,0.40350877,0.88157418
same_recording_split_halves,0.043005744,0.40350877,0.88157418
same_recording_split_halves,0.043161,0.40350877,0.88157418
same_recording_split_halves,0.043161,0.4122807,0.88157418
same_recording_split_halves,0.043316255,0.4122807,0.88157418
same_recording_split_halves,0.043471511,0.4122807,0.88157418
same_recording_split_halves,0.043626766,0.4122807,0.88157418
same_recording_split_halves,0.043782021,0.4122807,0.88157418
same_recording_split_halves,0.043937277,0.4122807,0.88157418
same_recording_split_halves,0.044092532,0.4122807,0.88157418
same_recording_split_halves,0.044247788,0.4122807,0.88157418
same_recording_split_halves,0.044403043,0.4122807,0.88157418
same_recording_split_halves,0.044558298,0.4122807,0.88157418
